loan_id,customer_id,loan_type,loan_amount,interest_rate,tenure_years,emi,status
L008,C008,Personal,1528301,9.5,15,17313,Active
L015,C015,Personal,641126,9.5,15,7414,Active
L016,C016,Education,411863,9.5,15,20361,Active
L018,C018,Car,1104538,9.5,15,18343,Active
L021,C021,Personal,152464,9.5,15,18115,Active
L025,C025,Personal,1268930,9.5,15,12893,Active
L026,C026,Personal,2055971,9.5,15,14607,Active
L030,C030,Education,561505,9.5,15,9379,Active
L032,C032,Home,162231,9.5,15,7572,Active
L033,C033,Personal,926783,9.5,15,20677,Active
L034,C034,Home,1076735,9.5,15,7777,Active
L035,C035,Home,691149,9.5,15,8641,Active
L036,C036,Personal,1258994,9.5,15,5597,Active
L039,C039,Education,1592262,9.5,15,20968,Active
L040,C040,Personal,1139453,9.5,15,13533,Active
L041,C041,Personal,165072,9.5,15,19914,Active
L044,C044,Home,512569,9.5,15,21671,Active
L047,C047,Personal,1876265,9.5,15,9493,Active
L051,C051,Education,1137665,9.5,15,17053,Active
L052,C052,Personal,302884,9.5,15,11605,Active
L054,C054,Personal,1447706,9.5,15,9561,Active
L055,C055,Home,166787,9.5,15,12498,Active
L056,C056,Home,899994,9.5,15,6409,Active
L060,C060,Personal,559698,9.5,15,10093,Active
L069,C069,Personal,1646197,9.5,15,12927,Active
L071,C071,Car,724471,9.5,15,17447,Active
L072,C072,Home,1268732,9.5,15,20883,Active
L073,C073,Home,1915598,9.5,15,19870,Active
L074,C074,Education,1554086,9.5,15,19489,Active
L075,C075,Personal,1012509,9.5,15,24742,Active
L080,C080,Personal,1550230,9.5,15,10681,Active
L081,C081,Education,1646957,9.5,15,18508,Active
L083,C083,Education,2088278,9.5,15,14893,Active
L085,C085,Personal,1885695,9.5,15,6291,Active
L087,C087,Personal,1362882,9.5,15,13908,Active
L090,C090,Education,2041143,9.5,15,20767,Active
L091,C091,Car,1942010,9.5,15,23524,Active
L095,C095,Education,309869,9.5,15,11489,Active
L097,C097,Personal,2010544,9.5,15,19302,Active
L098,C098,Home,267329,9.5,15,5169,Active
L099,C099,Personal,1213493,9.5,15,22179,Active
L100,C100,Personal,1003455,9.5,15,19258,Active
L101,C101,Personal,500000,8.5,5,9500,Active
L102,C102,Car,800000,9.0,7,12500,Active
L105,C105,Home,15000000,8.0,20,125000,Active
