customer_id,service_name,monthly_cost,last_used_date
C001,Spotify,119,2026-04-15
C002,Disney+ Hotstar,299,2026-04-15
C003,Spotify,119,2026-04-15
C005,Amazon Prime,179,2026-04-15
C007,Disney+ Hotstar,299,2026-04-15
C008,Disney+ Hotstar,299,2026-04-15
C010,YouTube Premium,129,2026-04-15
C011,Amazon Prime,179,2026-04-15
C012,YouTube Premium,129,2026-04-15
C014,Disney+ Hotstar,299,2026-04-15
C018,Spotify,119,2026-04-15
C019,Amazon Prime,179,2026-04-15
C020,Spotify,119,2026-04-15
C021,Netflix,499,2026-04-15
C022,Disney+ Hotstar,299,2026-04-15
C025,Netflix,499,2026-04-15
C026,YouTube Premium,129,2026-04-15
C027,YouTube Premium,129,2026-04-15
C028,Disney+ Hotstar,299,2026-04-15
C029,Netflix,499,2026-04-15
C031,Spotify,119,2026-04-15
C033,Spotify,119,2026-04-15
C034,Disney+ Hotstar,299,2026-04-15
C035,Disney+ Hotstar,299,2026-04-15
C036,Spotify,119,2026-04-15
C037,YouTube Premium,129,2026-04-15
C038,Netflix,499,2026-04-15
C040,Netflix,499,2026-04-15
C041,YouTube Premium,129,2026-04-15
C043,Netflix,499,2026-04-15
C044,Amazon Prime,179,2026-04-15
C045,Disney+ Hotstar,299,2026-04-15
C046,YouTube Premium,129,2026-04-15
C048,Spotify,119,2026-04-15
C053,YouTube Premium,129,2026-04-15
C054,Spotify,119,2026-04-15
C055,Netflix,499,2026-04-15
C058,Disney+ Hotstar,299,2026-04-15
C059,Amazon Prime,179,2026-04-15
C061,YouTube Premium,129,2026-04-15
C064,Netflix,499,2026-04-15
C067,Spotify,119,2026-04-15
C068,Amazon Prime,179,2026-04-15
C069,Netflix,499,2026-04-15
C072,YouTube Premium,129,2026-04-15
C075,YouTube Premium,129,2026-04-15
C077,YouTube Premium,129,2026-04-15
C079,Disney+ Hotstar,299,2026-04-15
C086,Amazon Prime,179,2026-04-15
C087,Netflix,499,2026-04-15
C088,Spotify,119,2026-04-15
C090,YouTube Premium,129,2026-04-15
C093,Disney+ Hotstar,299,2026-04-15
C095,YouTube Premium,129,2026-04-15
C097,Disney+ Hotstar,299,2026-04-15
C099,Disney+ Hotstar,299,2026-04-15
